wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk,SRF,MA0083.2
wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk,SRF,MA0083.2
wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk,SRF,MA0083.2
wgEncodeAwgTfbsHaibK562SrfV0416101UniPk,SRF,MA0083.2
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk,MEF2A,MA0052.2
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk,MEF2A,MA0052.2
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk,MEF2C,MA0497.1
wgEncodeAwgTfbsSydhHelas3E2f1UniPk,E2F1,MA0024.2
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,E2F4,MA0470.1
wgEncodeAwgTfbsSydhHelas3E2f4UniPk,E2F4,MA0470.1
wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,E2F4,MA0470.1
wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk,E2F4,MA0470.1
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,E2F6,MA0471.1
wgEncodeAwgTfbsSydhHelas3E2f6UniPk,E2F6,MA0471.1
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,E2F6,MA0471.1
